"","i","j","S","OS","WN","ST","sp","hpcd","hpcdp","ppcd","ppcdp"
"1","Adzharia","Akmolinsk",0.8,0.714285714285714,0.987261146496815,0.272975432211101,2986.08289710367,1.04590899150484,1.18971165525044,1.17851096636984,1.30971964784803
"2","Adzharia","Altai",0.833333333333333,0.333333333333333,0.964497041420118,0.631163708086785,4737.87452700732,0.972758791175099,0.979412028846288,0.899016068674595,1.08821666291831
"3","Adzharia","Amur",0.890909090909091,NA,1,NA,9466.60767294823,1.13783931771512,1.06731208727823,1.1067052752983,1.18424826132806
"4","Adzharia","Amur-Bureya",1,NA,1,NA,10369.6599265299,1.18695901156093,1.10617424655435,0.791640845807512,0.73334219658046
"5","Adzharia","Armenia",0.679012345679012,0.619047619047619,0.956521739130435,0.337474120082816,334.027318500216,0.963692242493558,1.25041059563214,1.2753799207648,1.67186586053585
"6","Adzharia","Central Yakutia",0.924528301886792,NA,1,NA,9492.81842811095,1.06539928447888,1.11052466739586,1.25145234319863,1.21408451269957
"7","Adzharia","Chimkent",0.833333333333333,1,1,0,3203.23014870056,0.758802826132994,0.903933945180863,1.30363085543615,1.36828246696591
"8","Adzharia","Dzhungarsky Alatau",0.75,0.4,0.962025316455696,0.562025316455696,4296.02908333117,0.79541473847956,1.07808278603841,1.10151601585496,1.24390711058743
"9","Adzharia","East Balkhash",0.922077922077922,0,0.973154362416107,0.973154362416107,4212.21725990194,1.39227063053346,1.45172020291162,2.06877481987216,1.91718633800088
"10","Adzharia","East Pamir",0.92156862745098,1,1,0,3519.53308123299,0.976526201425593,1.08547747183258,1.77791689163369,1.71002152880336
"11","Adzharia","Gissar",0.862068965517241,1,1,0,2983.15476602504,0.720865988627667,0.878512460393667,1.86879074713424,1.86681970877206
"12","Adzharia","Guriev",0.934426229508197,NA,1,NA,1434.08196417941,1.62419626764595,1.6397388156617,1.92256506565548,1.82828780569651
"13","Adzharia","Kabarda",0.689655172413793,0.333333333333333,0.875968992248062,0.542635658914729,201.63215667533,0.947134270591159,1.39751979786528,0.614094667600027,0.765649015556963
"14","Adzharia","Kamchatka",0.894736842105263,NA,1,NA,12860.4001791866,1.14294775598719,1.09935152880396,0.897935548445099,1.01640881012148
"15","Adzharia","Khabarovsk",0.890909090909091,NA,1,NA,10361.0503835689,1.13783931771512,1.06731208727823,1.1067052752983,1.18424826132806
"16","Adzharia","Khasan",0.952380952380952,NA,1,NA,9896.79270656647,1.00624396346952,0.950803524710872,0.628770530556634,0.639321606776707
"17","Adzharia","Kostroma",0.71875,0.428571428571429,0.957446808510638,0.52887537993921,1361.78045486625,0.943121850649663,1.01141560134606,0.513192591363314,0.724878276854444
"18","Adzharia","Krasnojarsk",0.854545454545454,NA,1,NA,6128.58379001494,0.932869850388476,0.96098746376917,1.03017165542025,1.12766107061611
"19","Adzharia","Kurgan",0.80327868852459,0.4,0.963855421686747,0.563855421686747,2673.46053805117,0.914126442293397,0.970443773824621,0.823859862032901,0.976873039660692
"20","Adzharia","Kursk",0.692307692307692,0.538461538461539,0.949152542372881,0.410691003911343,1081.92967331049,0.652534031333888,0.879033447168791,0.482752892942016,0.637356682622279
"21","Adzharia","Kustanai",0.870967741935484,1,1,0,2611.22719944965,1.10766775483493,1.17590874348742,1.36535977910226,1.40115884648116
"22","Adzharia","Middle Ural",0.733333333333333,0.714285714285714,0.980392156862745,0.266106442577031,2562.26802411622,0.816810655393038,0.953620814753635,0.523159029219177,0.714842229084848
"23","Adzharia","Mongolia-Central Khangay",0.963636363636364,NA,1,NA,6352.48253461658,1.33124589124713,1.2406409205254,2.10553773305758,2.01709373614053
"24","Adzharia","Mongolia-NorthWestern Khangay",0.976744186046512,NA,1,NA,6041.8569198148,1.52778150952332,1.36544345066016,2.28543755161597,2.08038522773405
"25","Adzharia","Moscow",0.704918032786885,0.333333333333333,0.950738916256158,0.617405582922824,1250.47761008366,0.969763023960516,1.03998592691555,0.523230220686531,0.781016817219895
"26","Adzharia","Moyyunkum",0.946666666666667,1,1,0,3218.31023833904,1.49768897415088,1.44916880242633,2.41915081187348,2.24727053149646
"27","Adzharia","Nakhichevan",0.702127659574468,0.428571428571429,0.95,0.521428571428571,372.094260082753,0.736113126861282,0.981889741119099,0.647522997805801,0.854895156169907
"28","Adzharia","North Kyrgyzstan",0.922077922077922,1,1,0,3640.36295707445,1.22058123837306,1.19514332539224,1.6049262373943,1.53903292439559
"29","Adzharia","North Russian Far East",0.964912280701754,NA,1,NA,12782.6689927297,1.11525067055807,1.00771961416818,1.22278209041076,1.1977684520546
"30","Adzharia","Novosibirsk",0.857142857142857,0.714285714285714,0.991489361702128,0.277203647416413,4234.58028761939,1.25333083053156,1.24798471128642,0.980574678676879,1.04170747244567
"31","Adzharia","Pavlodar",0.890909090909091,0,0.978494623655914,0.978494623655914,3858.20336768974,1.26700226056473,1.24891582709311,1.31627470006281,1.39998358794395
"32","Adzharia","Poland",0.653333333333333,0.352941176470588,0.915057915057915,0.562116738587327,2633.00420250577,0.724866228314968,0.934538277827562,0.391998453484679,0.560554247394984
"33","Adzharia","Pre-Polar Ural",0.911111111111111,NA,1,NA,2559.08461262318,1.31791815697892,1.21473187239597,0.552524346672695,0.617700167610582
"34","Adzharia","Scotland",0.804878048780488,1,1,0,5322.75637688277,0.728298462289662,0.910874660825088,0.763017257405732,0.863689453040216
"35","Adzharia","Selenga",0.918367346938775,NA,1,NA,7160.07553829526,1.14791215817847,1.06358435959786,0.964739606314372,1.02609251352714
