i j S OS WN ST sp hpcd hpcdp ppcd ppcdp
Adzharia Akmolinsk 0.8 0.714285714285714 0.987261146496815 0.272975432211101 2986.08289710367 1.04590899150484 1.18971165525044 1.17851096636984 1.30971964784803
Adzharia Altai 0.833333333333333 0.333333333333333 0.964497041420118 0.631163708086785 4737.87452700732 0.972758791175099 0.979412028846288 0.899016068674595 1.08821666291831
Adzharia Armenia 0.679012345679012 0.619047619047619 0.956521739130435 0.337474120082816 334.027318500216 0.963692242493558 1.25041059563214 1.2753799207648 1.67186586053585
Adzharia Chimkent 0.833333333333333 1 1 0 3203.23014870056 0.758802826132994 0.903933945180863 1.30363085543615 1.36828246696591
Adzharia Dzhungarsky Alatau 0.75 0.4 0.962025316455696 0.562025316455696 4296.02908333117 0.79541473847956 1.07808278603841 1.10151601585496 1.24390711058743
Adzharia East Balkhash 0.922077922077922 0 0.973154362416107 0.973154362416107 4212.21725990194 1.39227063053346 1.45172020291162 2.06877481987216 1.91718633800088
Adzharia East Pamir 0.92156862745098 1 1 0 3519.53308123299 0.976526201425593 1.08547747183258 1.77791689163369 1.71002152880336
Adzharia Gissar 0.862068965517241 1 1 0 2983.15476602504 0.720865988627667 0.878512460393667 1.86879074713424 1.86681970877206
Adzharia Kabarda 0.689655172413793 0.333333333333333 0.875968992248062 0.542635658914729 201.63215667533 0.947134270591159 1.39751979786528 0.614094667600027 0.765649015556963
Adzharia Kostroma 0.71875 0.428571428571429 0.957446808510638 0.52887537993921 1361.78045486625 0.943121850649663 1.01141560134606 0.513192591363314 0.724878276854444
Adzharia Kurgan 0.80327868852459 0.4 0.963855421686747 0.563855421686747 2673.46053805117 0.914126442293397 0.970443773824621 0.823859862032901 0.976873039660692
Adzharia Kursk 0.692307692307692 0.538461538461539 0.949152542372881 0.410691003911343 1081.92967331049 0.652534031333888 0.879033447168791 0.482752892942016 0.637356682622279
Adzharia Kustanai 0.870967741935484 1 1 0 2611.22719944965 1.10766775483493 1.17590874348742 1.36535977910226 1.40115884648116
Adzharia Middle Ural 0.733333333333333 0.714285714285714 0.980392156862745 0.266106442577031 2562.26802411622 0.816810655393038 0.953620814753635 0.523159029219177 0.714842229084848
Adzharia Moscow 0.704918032786885 0.333333333333333 0.950738916256158 0.617405582922824 1250.47761008366 0.969763023960516 1.03998592691555 0.523230220686531 0.781016817219895
Adzharia Moyyunkum 0.946666666666667 1 1 0 3218.31023833904 1.49768897415088 1.44916880242633 2.41915081187348 2.24727053149646
Adzharia Nakhichevan 0.702127659574468 0.428571428571429 0.95 0.521428571428571 372.094260082753 0.736113126861282 0.981889741119099 0.647522997805801 0.854895156169907
Adzharia North Kyrgyzstan 0.922077922077922 1 1 0 3640.36295707445 1.22058123837306 1.19514332539224 1.6049262373943 1.53903292439559
Adzharia Novosibirsk 0.857142857142857 0.714285714285714 0.991489361702128 0.277203647416413 4234.58028761939 1.25333083053156 1.24798471128642 0.980574678676879 1.04170747244567
Adzharia Pavlodar 0.890909090909091 0 0.978494623655914 0.978494623655914 3858.20336768974 1.26700226056473 1.24891582709311 1.31627470006281 1.39998358794395
